Frame, Avg_X, Avg_Y
154, 931.6106239730392, 619.4297339253405
155, 932.2856637494992, 620.7995892020983
156, 933.9293103546266, 622.2558108650238
157, 936.092667175293, 623.5891308441162
158, 938.1661300734198, 624.7842284946198
159, 939.2289765792802, 625.7307693909814
160, 940.2684830337394, 626.6419089638243
161, 941.140309670814, 627.4883379398432
162, 942.9342176712391, 628.5705635815998
163, 944.4708441178955, 629.7686329466987
164, 947.0011310300965, 630.6161671099455
165, 948.3927153996059, 631.4527838434492
166, 950.0983484306907, 632.6271578728995
167, 950.9431078377868, 632.9149007489605
168, 951.621337337675, 633.2839263705368
169, 952.5997918555354, 633.8423562814758
